PyScript,Total Memory(MB),Total Time(s)
bench_plot_lasso_path_130.py,197.789062,13.093
bench_plot_lasso_path_131.py,213.695312,10.753
bench_plot_lasso_path_132.py,204.328125,11.548
bench_plot_lasso_path_133.py,223.800781,12.328
bench_plot_lasso_path_134.py,227.863281,12.672
bench_plot_lasso_path_135.py,232.070312,13.585
bench_plot_lasso_path_136.py,237.214844,13.710
bench_plot_lasso_path_137.py,241.714844,15.459
bench_plot_lasso_path_138.py,245.910156,15.827
bench_plot_lasso_path_139.py,251.152344,16.970
bench_plot_lasso_path_140.py,256.058594,17.420
bench_plot_lasso_path_141.py,247.980469,18.400
bench_plot_lasso_path_142.py,262.785156,18.655
bench_plot_lasso_path_143.py,267.917969,18.897
bench_plot_lasso_path_144.py,275.613281,20.110
bench_plot_lasso_path_145.py,281.167969,21.083
bench_plot_lasso_path_146.py,286.339844,22.797
bench_plot_lasso_path_147.py,288.75,23.187
bench_plot_lasso_path_148.py,297.183594,27.127
bench_plot_lasso_path_149.py,303.097656,25.801
bench_plot_lasso_path_150.py,308.292969,26.624
bench_plot_lasso_path_151.py,314.625,26.983
bench_plot_lasso_path_152.py,318.335938,27.653
bench_plot_lasso_path_153.py,326.390625,28.376
bench_plot_lasso_path_154.py,337.402344,31.796
bench_plot_lasso_path_155.py,338.28125,31.555
bench_plot_lasso_path_156.py,344.570312,32.973
